"Berkel c.a." , , x, x, , x, 
"Berkel en Rodenrijs" , x, , , , , 
"Berkel, c. a." , x, , , , , 
"Berkenwoude" , x, , , , , 
"Berkhout" , x, , , , , 
"Berlicum" , , x, x, x, x, 
"Berlicum, c. a." , x, , , , , 
"Besoijen" , x, x, x, x, x, 
"Best" , x, x, x, x, x, 
"Beugen" , , , x, , , 
"Beugen c.a." , , x, , , x, 
"Beugen en Rijkervoort" , , , , x, , 
"Beugen, c. a." , x, , , , , 
"Beuningen" , x, , , , , 
"Beusichem" , x, , , , , 
"Beverwijk" , x, , , , , 
"Bierum" , x, , , , , 
"Biervliet" , x, , , , , 
"Biggekerke" , x, , , , , 
"Bilt (de)" , x, , , , , 
"Bingelrade" , x, , , , , x
"Bladel c.a." , , x, x, , x, 
"Bladel en Netersel" , , , , x, , 
"Bladel, c. a." , x, , , , , 
"Bladel. E.a." , , , , , , x
"Blankenham" , x, , , , , 
"Blankenham." , , , , , , x
"Blaricum" , x, , , , , 
"Blaricum." , , , , , , x
"Bleiswijk" , x, , , , , 
"Bleiswijk." , , , , , , x
"Bleskensgraaf en Hofwegen" , x, , , , , 
"Bleskensgraaf." , , , , , , x
"Bloemendaal" , x, , , , , 
"Bloemendaal." , , , , , , x
"Blokker" , x, , , , , 
"Blokker." , , , , , , x
"Blokzijl" , x, , , , , 
"Blokzijl." , , , , , , x
"Bocholtz" , x, , , , , 
"Bodegraven" , x, , , , , 
"Bodegraven." , , , , , , x
"Boekel" , x, x, x, x, x, 
"Boekel." , , , , , , x
"Bokhoven" , x, x, x, x, x, 
"Bokhoven." , , , , , , x
"Bolsward" , x, , , , , 
"Bolsward." , , , , , , x
"Bommel (DEN)." , , , , , , x
"Bommel (Zalt-)" , x, , , , , 
"Bommel (den)" , x, , , , , 
"Bommenede" , x, , , , , 
"Boosteren" , , , , , , x
"Borculo" , x, , , , , 
"Borculo." , , , , , , x
"Borger" , x, , , , , 
"Borger." , , , , , , x
"Borgharen" , x, , , , , 
"Borgharen." , , , , , , x
"Borkel" , , , x, , , 
"Borkel c.a." , , , , , x, 
"Borkel en Schaft" , x, x, , x, , 
"Borkel en Schaft." , , , , , , x
"Born" , x, , , , , 
"Born." , , , , , , x
"Borne" , x, , , , , 
"Borne." , , , , , , x
"Borssele" , x, , , , , 
"Borsselen." , , , , , , x
"Boschkapelle" , x, , , , , 
"Boschkapelle." , , , , , , x
"Boscholtz." , , , , , , x
"Boskoop" , x, , , , , 
"Boskoop." , , , , , , x
"Bovenkarspel" , x, , , , , 
"Bovenkarspel." , , , , , , x
"Boxmeer" , x, x, x, x, x, 
"Boxmeer." , , , , , , x
"Boxtel" , x, x, x, x, x, 
"Boxtel." , , , , , , x
"Brakel" , x, , , , , 
"Brakel." , , , , , , x
"Brandwijk" , x, , , , , 
"Brandwijk." , , , , , , x
"Breda" , x, x, x, x, x, 
"Breda." , , , , , , x
"Breskens" , x, , , , , 
"Breskens." , , , , , , x
"Breukelen Nijenrode" , x, , , , , 
"Breukelen St. Pieters" , x, , , , , 
"Breukelen St. Pieters." , , , , , , x
"Breukelen- Nijenrode." , , , , , , x
"Brielle" , x, , , , , 
"Brielle." , , , , , , x
"Broek" , x, , , , , 
"Broek in Waterland" , x, , , , , 
"Broek in Waterland." , , , , , , x
"Broek op Langedijk" , x, , , , , 
"Broek op Langendijk." , , , , , , x
"Broekhuijsen" , x, , , , , 
"Broekhuizen." , , , , , , x
"Broeksittard" , x, , , , , 
"Broeksittard." , , , , , , x
"Brouwershaven" , x, , , , , 
"Brouwershaven." , , , , , , x
"Bruinisse" , x, , , , , 
"Bruinisse." , , , , , , x
"Brummen" , x, , , , , 
"Brummen." , , , , , , x
"Brunssum" , x, , , , , 
"Brunssum." , , , , , , x
"Budel" , x, , x, x, x, 
"Budel." , , , , , , x
"Buggenum" , x, , , , , 
"Buggenum." , , , , , , x
"Buiksloot" , x, , , , , 
"Buiksloot." , , , , , , x
"Bunde" , x, , , , , 
"Bunde." , , , , , , x
"Bunnik" , x, , , , , 
"Bunnik." , , , , , , x
"Bunschoten" , x, , , , , 
"Bunschoten." , , , , , , x
"Buren" , x, , , , , 
"Buren." , , , , , , x
"Burgh" , x, , , , , 
"Burgh." , , , , , , x
"Bussum" , x, , , , , 
"Bussum." , , , , , , x
"Buurmalsen" , x, , , , , 
"Buurmalsen." , , , , , , x
"Cadier en Keer" , x, , , , , 
"Cadier en Keer." , , , , , , x
"Cadzand" , x, , , , , 
"Cadzand." , , , , , , x
"Callantsoog" , x, , , , , 
"Callantsoog." , , , , , , x
"Capelle" , x, , x, x, x, 
"Capelle A/D Ijsel." , , , , , , x
"Capelle aan den IJssel" , x, , , , , 
"Capelle. (N. Br.)" , , , , , , x
"Cappelle" , , x, , , , 
"Castricum" , x, , , , , 
"Castricum." , , , , , , x
"Chaam" , x, x, x, x, x, 
"Chaam." , , , , , , x
"Charlois" , x, , , , , 
"Clinge" , x, , , , , 
"Clinge." , , , , , , x
"Coevorden" , x, , , , , 
"Coevorden." , , , , , , x
"Colijnsplaat" , x, , , , , 
"Colijnsplaat." , , , , , , x
"Cothen" , x, , , , , 
"Cothen." , , , , , , x
"Cromvoirt" , x, x, x, x, x, 
"Cromvoirt." , , , , , , x
"Cuijck. C.A." , , , , , , x
"Cuijk" , , , x, , , 
"Cuijk c.a." , , x, , , , 
"Cuijk en St. Agatha" , , , , x, , 
"Cuijk, c. a." , x, , , , , 
"Culemborg." , , , , , , x
"Culenborg" , x, , , , , 
"Cuyk en St. Agatha" , , , , , x, 
"Dalen" , x, , , , , 
"Dalen." , , , , , , x
"Dalfsen" , x, , , , , 
"Dalfsen." , , , , , , x
"Dantumadeel" , x, , , , , 
"Dantumadeel." , , , , , , x
"De Werken en Sleeuwijk" , , , , x, x, 
"Deil" , x, , , , , x
"Delden (AMBT)" , , , , , , x
"Delden (Ambt)" , x, , , , , 
"Delden (STAD)" , , , , , , x
"Delden (Stad)" , x, , , , , 
"Delfshaven" , x, , , , , 
"Delft" , x, , , , , x
"Delftzijl" , , , , , , x
"Delfzijl" , x, , , , , 
"Den Dungen" , , , , , x, 
"Denekamp" , x, , , , , x
"Deurgen en Dennenburg (Geene kom)" , , , , x, , 
"Deurne" , , , x, x, , 
"Deurne c.a." , , x, , , , 
"Deurne en Liesel" , , , , x, , x
"Deurne en Liessel" , , , , , x, 
"Deurne, c. a." , x, , , , , 
"Deursen" , , , x, , , 
"Deursen c.a." , , x, , , , 
"Deursen en Dennenburg" , , , , , x, x
"Deursen, c. a." , x, , , , , 
"Deventer" , x, , , , , x
"Didam" , x, , , , , x
"Dieden" , , , x, , , 
"Dieden c.a." , , x, , , , 
"Dieden, Demen, Langel" , , , , , x, 
"Dieden, Demmen en Langel (Geene kom)" , , , , x, , 
"Dieden, c. a." , x, , , , , 
"Diemen" , x, , , , , 
"Diepenheim" , x, , , , , 
"Diepenveen" , x, , , , , 
"Diessen" , x, x, x, , x, 
"Diessen." , , , , x, , 
"Diever" , x, , , , , 
"Dinteloord" , , x, x, , , 
"Dinteloord c.a." , , , , , x, 
"Dinteloord en Prinsland." , , , , x, , 
"Dinteloord, c. a." , x, , , , , 
"Dinther" , x, x, x, , x, 
"Dinther." , , , , x, , 
"Dinxperlo" , x, , , , , 
"Dirksland" , x, , , , , 
"Dodewaard" , x, , , , , 
"Doesburg" , x, , , , , 
"Doetinchem (Ambt)" , x, , , , , 
"Doetinchem (Stad)" , x, , , , , 
"Dokkum" , x, , , , , 
"Domburg" , x, , , , , 
"Dommelen" , x, x, x, x, x, 
"Dongen" , x, x, x, x, x, 
"Doniawerstal" , x, , , , , 
"Doorn" , x, , , , , 
"Doornspijk" , x, , , , , 
"Doorwerth" , x, , , , , 
"Dordrecht" , x, , , , , 
"Dreischor" , x, , , , , 
"Drenthe" , x, , , , , 
"Dreumel" , x, , , , , 
"Driebergen" , x, , , , , 
"Driel" , x, , , , , 
"Driewegen" , x, , , , , 
"Drongelen" , , , x, , , 
"Drongelen c.a." , , x, , , x, 
"Drongelen, c. a." , x, , , , , 
"Drunen" , x, x, x, x, x, 
"Druten" , x, , , , , 
"Dubbeldam" , x, , , , , 
"Duiven" , x, , , , , 
"Duivendijke" , x, , , , , 
"Duizel" , , , x, , , 
"Duizel c.a." , , x, , , x, 
"Duizel en Steensel (geene kom)" , , , , x, , 
"Duizel, c. a." , x, , , , , 
"Dungen (den)" , x, , , , , 
"Dussen" , , x, x, , x, 
"Dussen c.a." , , , , , x, 
"Dussen, c. a." , x, , , , , 
"Dwingelo" , x, , , , , 
"ELKERZEE" , , , , , , x
"ELLEMEET" , , , , , , x
"ELLEWOUTSDIJK" , , , , , , x
"ELSLOO" , , , , , , x
"ELST" , , , , , , x
"EMMEN" , , , , , , x
"EMPEL e.a." , , , , , , x
"ENGELEN" , , , , , , x
"ENSCHEDE" , , , , , , x
"EPE" , , , , , , x
"ERMELO" , , , , , , x
"ERP" , , , , , , x
"ERSCHAREN" , , , , , , x
"ESCH" , , , , , , x
"ETTEN EN LEUR" , , , , , , x
"EVERDINGEN" , , , , , , x
"EWIJK" , , , , , , x
"EZINGE" , , , , , , x
"Echt" , x, , , , , 
"Echteld" , x, , , , , 
"Edam" , x, , , , , 
"Ede" , x, , , , , 
"Eede" , x, , , , , 
"Eelde" , x, , , , , 
"Eemnes" , x, , , , , 
"Eenrum" , x, , , , , 
"Eensel" , , , , x, , 
"Eersel" , x, x, x, , x, 
"Egmond aan Zee" , x, , , , , 
"Egmond binnen" , x, , , , , 
"Eibergen" , x, , , , , 
"Eijgelshoven" , x, , , , , 
"Eijsden" , x, , , , , 
"Eindhoven" , x, x, x, x, x, 
"Elburg" , x, , , , , 
"Elkerzee" , x, , , , , 
"Ellemeet" , x, , , , , 
"Ellewoutsdijk" , x, , , , , 
"Elsloo" , x, , , , , 
"Elst" , x, , , , , 
"Emmen" , x, , , , , 
"Emmikhoven" , , x, , , , 
"Emmikhoven, c. a." , x, , , , , 
"Empel" , , , x, , , 
"Empel c.a." , , x, , , x, 
"Empel en Meerwijk" , , , , x, , 
